Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
1/9/2017,1.05649,116.156,1.0158,1.21543,1.32276
1/10/2017,1.05582,115.743,1.01654,1.21634,1.3224
1/11/2017,1.0575,115.465,1.01498,1.2206,1.3169
1/12/2017,1.06171,114.599,1.0104,1.21621,1.31357
1/13/2017,1.06455,114.533,1.00851,1.21843,1.31225
1/16/2017,1.05967,114.068,1.0119,1.20541,1.3162
1/17/2017,1.0704,112.675,1.0022,1.24014,1.3051
1/18/2017,1.06397,114.252,1.00655,1.22633,1.32598
1/19/2017,1.06591,114.845,1.00694,1.23318,1.3319
1/20/2017,1.06907,114.58,1.00271,1.23636,1.33266
1/23/2017,1.07472,113.015,0.99831,1.25021,1.32488
1/24/2017,1.07274,113.836,1.0011,1.25028,1.31681
1/25/2017,1.07494,113.296,0.99945,1.26323,1.30678
1/26/2017,1.06914,114.389,0.99956,1.25997,1.30877
1/27/2017,1.06977,115.112,0.99908,1.25453,1.31394
1/30/2017,1.0694,113.59,0.9949,1.2481,1.3114
1/31/2017,1.07947,112.875,0.98946,1.25688,1.30198
2/1/2017,1.07712,113.139,0.9926,1.26671,1.30466
2/2/2017,1.0759,112.684,0.9928,1.25319,1.30252
2/3/2017,1.07743,112.871,0.993,1.2477,1.30256
2/6/2017,1.07494,111.735,0.99071,1.24692,1.30831
2/7/2017,1.06946,112.219,0.99647,1.25151,1.3162
2/8/2017,1.06874,112.049,0.99526,1.25304,1.3157
2/9/2017,1.0659,113.269,1.00134,1.2496,1.31405
2/10/2017,1.06321,113.421,1.00364,1.24813,1.30841
2/13/2017,1.05993,113.613,1.0053,1.25283,1.30716
2/14/2017,1.05732,114.18,1.00693,1.24648,1.30759
2/15/2017,1.0599,114.159,1.0054,1.24578,1.30782
2/16/2017,1.06729,113.159,0.99708,1.24946,1.30757
2/17/2017,1.06077,112.922,1.00285,1.2419,1.3102
2/20/2017,1.06177,113.117,1.00259,1.246,1.30921
